"","State","Status","n","Mean","SD","SE","25%","75%","alpha"
"1","CA","Healthy",46,84.1499263115217,33.6656125428554,4.96372376847144,74.152473447975,94.1473791750685,"Chao1"
"2","CA","BRD",48,98.3267751066667,39.5346031041633,5.70632843612342,86.847123007069,109.806427206264,"Chao1"
"3","IN","Healthy",44,299.923961345455,115.64085432629,17.4335147380204,264.765928168165,335.081994522744,"Chao1"
"4","IN","BRD",46,210.150389279783,101.884223314441,15.0220091868035,179.894509668842,240.406268890723,"Chao1"
"5","NY","Healthy",48,241.537492221042,123.522177919472,17.8288906681741,205.670390549017,277.404593893066,"Chao1"
"6","NY","BRD",50,184.8791629022,100.728790637555,14.245202184107,156.252357345119,213.505968459281,"Chao1"
"7","TX","Healthy",44,204.087741888636,120.427587641735,18.155141937058,167.474408768298,240.701075008975,"Chao1"
"8","TX","BRD",42,198.364588570714,126.689647578245,19.5486370268401,158.885315178724,237.843861962705,"Chao1"
"9","CA","Healthy",46,75.8260869565217,24.7927447701281,3.65549078735679,68.4635505736837,83.1886233393598,"Observed ASVs"
"10","CA","BRD",48,90.3541666666667,34.9987778408705,5.05163845193363,80.1915809321967,100.516752401137,"Observed ASVs"
"11","IN","Healthy",44,283.818181818182,108.5100515604,16.3585057730893,250.828110834569,316.808252801794,"Observed ASVs"
"12","IN","BRD",46,199.108695652174,96.2070055801828,14.1849490985472,170.538741601688,227.67864970266,"Observed ASVs"
"13","NY","Healthy",48,225.333333333333,115.183726194901,16.6253388312225,191.887465652078,258.779201014588,"Observed ASVs"
"14","NY","BRD",50,172.34,91.5768017144347,12.9509154983305,146.314160916402,198.365839083598,"Observed ASVs"
"15","TX","Healthy",44,197.295454545455,109.229772656874,16.4670078108487,164.086568348692,230.504340742217,"Observed ASVs"
"16","TX","BRD",42,187.571428571429,107.193042834205,16.5402456019479,154.167724917132,220.975132225725,"Observed ASVs"
"17","CA","Healthy",46,0.551031789630435,0.126981491512207,0.0187223995040262,0.513322941341394,0.588740637919475,"Pielou_e"
"18","CA","BRD",48,0.59176439325,0.0829019638294985,0.0119658677833274,0.567692172248346,0.615836614251653,"Pielou_e"
"19","IN","Healthy",44,0.538035443568182,0.119445986257877,0.0180071599605148,0.501720544545564,0.5743503425908,"Pielou_e"
"20","IN","BRD",46,0.506257076478261,0.117015087627382,0.0172529334194179,0.471507884810076,0.541006268146446,"Pielou_e"
"21","NY","Healthy",48,0.627367394895833,0.103694793424653,0.0149670542243216,0.597257565541575,0.657477224250091,"Pielou_e"
"22","NY","BRD",50,0.56250156318,0.103469240391,0.0146327603049394,0.533095930420346,0.591907195939654,"Pielou_e"
"23","TX","Healthy",44,0.631844648409091,0.147419708373275,0.0222243572444439,0.587024960521369,0.676664336296813,"Pielou_e"
"24","TX","BRD",42,0.580536888619048,0.143080260568986,0.0220777635192435,0.535949940656219,0.625123836581876,"Pielou_e"
"25","CA","Healthy",46,3.41179938563043,0.867747099737349,0.127942329833013,3.15411030553245,3.66948846572842,"Shannon"
"26","CA","BRD",48,3.78549818579167,0.651907754813196,0.0940947794320508,3.59620390587774,3.97479246570559,"Shannon"
"27","IN","Healthy",44,4.37449960952273,1.21322766308009,0.182900951987108,4.00564468641898,4.74335453262647,"Shannon"
"28","IN","BRD",46,3.79448551408696,1.02812413972352,0.151588634330906,3.48917033196526,4.09980069620865,"Shannon"
"29","NY","Healthy",48,4.82069634691667,1.10594005715838,0.159628697426995,4.49956482914887,5.14182786468446,"Shannon"
"30","NY","BRD",50,4.06742560744,1.00536102933451,0.142179520276623,3.78170516426518,4.35314605061482,"Shannon"
"31","TX","Healthy",44,4.76262747654545,1.39718930681263,0.210634213263375,4.33784310176672,5.18741185132419,"Shannon"
"32","TX","BRD",42,4.30249412128571,1.28560426927259,0.198373045474329,3.90187162851908,4.70311661405235,"Shannon"
"33","CA","Healthy",46,7.85758195165217,2.33057822776356,0.343625012873473,7.16548564871949,8.54967825458486,"Faith PD"
"34","CA","BRD",48,9.05616372939583,2.89361911077957,0.417657943135207,8.21594432430969,9.89638313448197,"Faith PD"
"35","IN","Healthy",44,21.7947050853182,5.78617317572343,0.872298427086081,20.035547652015,23.5538625186214,"Faith PD"
"36","IN","BRD",46,17.4342995991957,5.56454284003578,0.820447081442602,15.7818343520647,19.0867648463266,"Faith PD"
"37","NY","Healthy",48,16.4392140288958,6.89108681160335,0.994642706422069,14.4382509997007,18.4401770580909,"Faith PD"
"38","NY","BRD",50,13.74069632058,5.21069022267099,0.73690287822262,12.2598345443346,15.2215580968254,"Faith PD"
"39","TX","Healthy",44,17.0433362875,5.63192015448324,0.849043909166424,15.3310760590822,18.7555965159178,"Faith PD"
"40","TX","BRD",42,17.1819926122619,6.13674594816846,0.946920457668687,15.2696479522509,19.0943372722729,"Faith PD"
